Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
1523.7,6094.6,3.81,4521.76,809.06,180.07,135.76,500,1.5
6125.7,0,15.31,4259.41,1232.85,158.34,103.66,600,1.5
4996.5,1249.1,12.49,4159.98,1146,163.34,110.23,600,1.5
3972,2648,9.93,4205.77,1078.38,169.36,118.74,600,1.5
2827.3,4241,7.07,4323.5,994.84,174.83,127.16,600,1.5
1481.1,5924.4,3.7,4552.56,869.01,179.11,134.15,600,1.5
6355.6,0,15.89,4201.86,1091.81,159.91,105.67,100,1.94
5214.5,1303.6,13.04,4089.17,990.59,165.13,112.67,100,1.94
4174.7,2783.1,10.44,4127,907.55,171.22,121.55,100,1.94
3015.2,4522.8,7.54,4233.58,800.88,177.18,130.91,100,1.94
1644.6,6578.4,4.11,4433.84,628.14,182.49,139.93,100,1.94
6355.6,0,15.89,4201.88,1091.84,159.91,105.67,200,1.94
5214.1,1303.5,13.04,4089.31,990.91,165.13,112.67,200,1.94
4173.1,2782.1,10.43,4127.64,909.05,171.21,121.53,200,1.94
3011.1,4516.6,7.53,4235.54,805.66,177.12,130.83,200,1.94
1634.9,6539.6,4.09,4440.88,644.73,182.3,139.6,200,1.94
6341.8,0,15.85,4205.33,1101,159.81,105.55,300,1.94
5195.6,1298.9,12.99,4095.31,1004.66,164.98,112.46,300,1.94
4153.3,2768.9,10.38,4135.38,927.5,171.04,121.26,300,1.94
2989.6,4484.5,7.47,4245.81,830.42,176.86,130.4,300,1.94
1609.7,6438.8,4.02,4459.2,680.77,181.79,138.73,300,1.94
6305.5,0,15.76,4214.4,1122.76,159.56,105.23,400,1.94
5161.5,1290.4,12.9,4106.39,1031.3,164.7,112.08,400,1.94
4116.3,2744.2,10.29,4149.85,957.27,170.72,120.77,400,1.94
2953.1,4429.7,7.38,4263.29,866.54,176.4,129.67,400,1.94
1580.3,6321.3,3.95,4480.57,729.53,181.2,137.71,400,1.94
6256.8,0,15.64,4226.59,1153.36,159.23,104.81,500,1.94
5111.9,1278,12.78,4122.48,1065.65,164.29,111.52,500,1.94
4069.4,2713,10.17,4168.21,996.39,170.31,120.14,500,1.94
2907.7,4361.5,7.27,4285.05,912.11,175.83,128.77,500,1.94
1541.9,6167.7,3.86,4508.48,785.71,180.44,136.39,500,1.94
6194.3,0,15.49,4242.24,1190.5,158.8,104.26,600,1.94
5051.7,1262.9,12.63,4142.04,1107.84,163.79,110.85,600,1.94
4012.1,2674.8,10.03,4190.51,1043.31,169.79,119.35,600,1.94
2854.9,4282.3,7.14,4310.31,964.91,175.17,127.71,600,1.94
1498.1,5992.4,3.75,4540.28,848.49,179.52,134.83,600,1.94
6411.3,0,16.03,4187.92,1058.21,160.29,106.16,100,2.5
5259.1,1314.8,13.15,4074.68,958.5,165.5,113.18,100,2.5
4210,2806.7,10.53,4113.18,876.78,171.53,122.02,100,2.5
3043.5,4565.2,7.61,4219.81,773.02,177.48,131.41,100,2.5
1659.8,6639,4.15,4422.82,608.49,182.79,140.46,100,2.5
6398.6,0,16,4191.11,1063.95,160.2,106.05,200,2.5
5248.3,1312.1,13.12,4078.2,967.1,165.41,113.05,200,2.5
4195.6,2797,10.49,4118.84,887.73,171.41,121.83,200,2.5
3026.4,4539.6,7.57,4228.12,787.76,177.3,131.11,200,2.5
1642.5,6569.8,4.11,4435.39,631.74,182.45,139.86,200,2.5
6371.2,0,15.93,4197.97,1081.15,160.01,105.81,300,2.5
5218.9,1304.7,13.05,4087.74,986.96,165.17,112.72,300,2.5
4170.6,2780.4,10.43,4128.6,911.25,171.19,121.49,300,2.5
3002.1,4503.1,7.51,4239.86,816.11,177.01,130.65,300,2.5
1619.4,6477.6,4.05,4452.15,670.87,181.99,139.06,300,2.5
6333.2,0,15.83,4207.48,1106.64,159.75,105.48,400,2.5
5181.1,1295.3,12.95,4100,1015.91,164.86,112.3,400,2.5
4131.6,2754.4,10.33,4143.89,943.09,170.85,120.97,400,2.5
2964.5,4446.7,7.41,4257.86,853.65,176.54,129.9,400,2.5
1586.2,6344.9,3.97,4476.27,719.81,181.32,137.92,400,2.5
6279.5,0,15.7,4220.9,1138.29,159.39,105.01,500,2.5
5129.7,1282.4,12.82,4116.71,1051.89,164.43,111.72,500,2.5
4087.3,2724.9,10.22,4161.2,983.93,170.46,120.38,500,2.5
2921,4381.5,7.3,4278.66,901.17,176,129.03,500,2.5
1547.3,6189.2,3.87,4504.57,777.08,180.54,136.57,500,2.5
6218,0,15.55,4236.32,1176.81,158.97,104.47,600,2.5
5068.5,1267.1,12.67,4136.58,1094.92,163.93,111.04,600,2.5
4029.8,2686.5,10.07,4183.73,1031.99,169.96,119.61,600,2.5
2866.8,4300.2,7.17,4304.6,954.92,175.32,127.95,600,2.5
1503.3,6013.1,3.76,4536.55,840.81,179.64,135.03,600,2.5
873,0,2.62,5419.28,3286.36,82.64,60.15,100,0.25
746.2,186.6,2.24,5395.51,3131.87,86.16,60.48,100,0.25
599.7,399.8,1.8,5396.14,2939.72,90.06,61.01,100,0.25
430.1,645.1,1.29,5408.18,2653.88,94.37,61.8,100,0.25
233.2,933,0.7,5434.08,2179.98,99.31,62.96,100,0.25
873,0,2.62,5419.28,3286.36,82.64,60.15,200,0.25
746.2,186.6,2.24,5395.51,3131.87,86.16,60.48,200,0.25
599.7,399.8,1.8,5396.14,2939.72,90.06,61.01,200,0.25
430.1,645.1,1.29,5408.18,2653.88,94.37,61.8,200,0.25
233.2,933,0.7,5434.08,2179.98,99.31,62.96,200,0.25
873,0,2.62,5419.28,3286.36,82.64,60.15,300,0.25
746.2,186.6,2.24,5395.51,3131.87,86.16,60.48,300,0.25
599.7,399.8,1.8,5396.14,2939.72,90.06,61.01,300,0.25
430.1,645.1,1.29,5408.18,2653.88,94.37,61.8,300,0.25
233.2,933,0.7,5434.08,2179.98,99.31,62.96,300,0.25
873,0,2.62,5419.28,3286.36,82.64,60.15,400,0.25
746.2,186.6,2.24,5395.51,3131.87,86.16,60.48,400,0.25
599.7,399.8,1.8,5396.14,2939.72,90.06,61.01,400,0.25
430.1,645.1,1.29,5408.18,2653.88,94.37,61.8,400,0.25
233.2,933,0.7,5434.08,2179.98,99.31,62.96,400,0.25
873,0,2.62,5419.28,3286.36,82.64,60.15,500,0.25
746.2,186.6,2.24,5395.51,3131.87,86.16,60.48,500,0.25
599.7,399.8,1.8,5396.14,2939.72,90.06,61.01,500,0.25
430.1,645.1,1.29,5408.18,2653.88,94.37,61.8,500,0.25
233.2,933,0.7,5434.08,2179.98,99.31,62.96,500,0.25
873,0,2.62,5419.28,3286.36,82.64,60.15,600,0.25
746.2,186.6,2.24,5395.51,3131.87,86.16,60.48,600,0.25
599.7,399.8,1.8,5396.14,2939.72,90.06,61.01,600,0.25
430.1,645.1,1.29,5408.18,2653.88,94.37,61.8,600,0.25
233.2,933,0.7,5434.08,2179.98,99.31,62.96,600,0.25
1400.5,0,4.2,5306.95,3243.41,95.63,61.77,100,0.32
1195.5,298.9,3.59,5269.58,3043.89,100.93,62.78,100,0.32
968.6,645.7,2.91,5268.89,2806.68,107.16,64.23,100,0.32
699.5,1049.2,2.1,5286.94,2512.06,113.62,66.53,100,0.32
378.9,1515.8,1.14,5330.01,2075.03,119.86,69.91,100,0.32
1400.5,0,4.2,5306.95,3243.41,95.63,61.77,200,0.32
1195.5,298.9,3.59,5269.58,3043.88,100.93,62.78,200,0.32
968.6,645.7,2.91,5268.89,2806.68,107.16,64.23,200,0.32
699.5,1049.2,2.1,5286.94,2512.06,113.62,66.53,200,0.32
378.9,1515.8,1.14,5330.01,2075.03,119.86,69.91,200,0.32
1400.5,0,4.2,5306.95,3243.41,95.63,61.77,300,0.32
1195.5,298.9,3.59,5269.58,3043.89,100.93,62.78,300,0.32
968.6,645.7,2.91,5268.89,2806.68,107.16,64.23,300,0.32
699.5,1049.2,2.1,5286.94,2512.06,113.62,66.53,300,0.32
378.9,1515.8,1.14,5330.01,2075.03,119.86,69.91,300,0.32
1400.5,0,4.2,5306.95,3243.41,95.63,61.77,400,0.32
1195.5,298.9,3.59,5269.58,3043.88,100.93,62.78,400,0.32
968.6,645.7,2.91,5268.89,2806.68,107.16,64.23,400,0.32
699.5,1049.2,2.1,5286.94,2512.06,113.62,66.53,400,0.32
378.9,1515.8,1.14,5330.01,2075.03,119.86,69.91,400,0.32
1400.5,0,4.2,5306.95,3243.41,95.63,61.77,500,0.32
1195.5,298.9,3.59,5269.58,3043.89,100.93,62.78,500,0.32
968.6,645.7,2.91,5268.89,2806.68,107.16,64.23,500,0.32
699.5,1049.2,2.1,5286.94,2512.06,113.62,66.53,500,0.32
378.9,1515.8,1.14,5330.01,2075.03,119.86,69.91,500,0.32
1400.5,0,4.2,5306.95,3243.41,95.63,61.77,600,0.32
1195.5,298.9,3.59,5269.58,3043.89,100.93,62.78,600,0.32
968.6,645.7,2.91,5268.89,2806.68,107.16,64.23,600,0.32
699.5,1049.2,2.1,5286.94,2512.06,113.62,66.53,600,0.32
378.9,1515.8,1.14,5330.01,2075.03,119.86,69.91,600,0.32
2189.8,0,6.57,5135.58,3001.91,113.01,66.66,100,0.42
1853.5,463.4,5.56,5081.39,2812.4,119.35,69.56,100,0.42
1493,995.4,4.48,5084.9,2605,126.61,73.45,100,0.42
1072.4,1608.6,3.22,5117.17,2349.44,133.34,78.42,100,0.42
580.5,2322.1,1.74,5185.35,1932.84,140.11,84.28,100,0.42
2189.8,0,6.57,5135.58,3001.91,113.01,66.66,200,0.42
1853.5,463.4,5.56,5081.39,2812.41,119.35,69.56,200,0.42
1493,995.4,4.48,5084.9,2605,126.61,73.45,200,0.42
1072.4,1608.6,3.22,5117.17,2349.44,133.34,78.42,200,0.42
580.5,2322.1,1.74,5185.35,1932.84,140.11,84.28,200,0.42
2189.8,0,6.57,5135.58,3001.91,113.01,66.66,300,0.42
1853.5,463.4,5.56,5081.39,2812.4,119.35,69.56,300,0.42
1493,995.4,4.48,5084.9,2605,126.61,73.45,300,0.42
1072.4,1608.6,3.22,5117.17,2349.44,133.34,78.42,300,0.42
580.5,2322.1,1.74,5185.35,1932.84,140.11,84.28,300,0.42
2189.8,0,6.57,5135.58,3001.91,113.01,66.66,400,0.42
1853.5,463.4,5.56,5081.39,2812.4,119.35,69.56,400,0.42
1493,995.4,4.48,5084.9,2605,126.61,73.45,400,0.42
1072.4,1608.6,3.22,5117.17,2349.44,133.34,78.42,400,0.42
580.5,2322.1,1.74,5185.35,1932.84,140.11,84.28,400,0.42
